category,name,imageUrl, description,price ,weight_g
טורטיה ,סלמון מעושן,/branding/Brooklyn Bake Shop_Label-1.jpg,טורטיה סלמון מעושן גבינת שמנת מלפפון מזונות,32,קוטר טורטיה 20 סמ
בייגל,חמאה,/product_images/PHOTO-2026-03-17-14-50-25_7.jpg,ביגיל עם חמאה ומלפפון בצל ירוק,35,קוטר בייגל 11
בייגל,סלט בצים,/product_images/PHOTO-2026-03-17-14-50-23.jpg,בייגל עם סלט בצים עגבניה ומלפפון,40,קוטר בייגל 11
בייגל,טונה,/product_images/PHOTO-2026-03-17-14-50-24_4.jpg,בייגל עם טונה חמוצים ותירס ,40,קוטר בייגל 11
בייגל, גבינת שמנת קלאסי,/product_images/PHOTO-2026-03-17-14-50-24_3.jpg,"בייגל ממולא בגבינת שמנת, מלפפונים טריים ופטריות",40,קוטר בייגל 11
בייגל,אבוקדו,/product_images/PHOTO-2026-03-17-14-50-24.jpg,"בייגל ממולא בממרח אבוקדו, עגבניות, מלפפון וחסה.",41,קוטר בייגל 11
בייגל, גבינה צהובה,/branding/Brooklyn Bake Shop_Label-1.jpg,"בייגל ממולא בגבינה צהובה, גזר, מלפפון, עגבניות ",40,קוטר בייגל 11
בייגל, גבינה בולגרית,/product_images/PHOTO-2026-03-17-14-50-25_5.jpg,בייגל ממולא בגבינה בולגרית עם בטטה וחציל.,40,קוטר בייגל 11
בייגל,חביתה,/product_images/PHOTO-2026-03-17-14-50-25.jpg,"בייגל ממולא בחביתת פטריות ובצל, בתוספת גבינת שמנת, חסה ומלפפון.",45,קוטר בייגל 11
בייגל,סלמון מעשן,/product_images/PHOTO-2026-03-17-14-50-24_1.jpg,"בייגל עם גבינת שמנת, סלמון מעושן, עגבניות ומלפפון.",46,קוטר בייגל 11
בייגל,טוסט,/product_images/PHOTO-2026-03-17-14-50-25_4.jpg,"בייגל טוסט עם רוטב פיצה, גבינה צהובה, בצל, פטריות וזיתים",45,קוטר בייגל 11
בייגל,פטה,/product_images/PHOTO-2026-03-17-14-50-24_2.jpg,בייגל ממולא בגבינה פטה זיתים פטריות מטוגן ,40,קוטר בייגל 11
סלט,סלט יווני קלאסי,/branding/Brooklyn Bake Shop_Label-1.jpg,"חסה, עגבניה, מלפפון, פלפל, בצל סגול, זיתים ירוקים ושחורים, גבינת פטה, גרעיני חמנייה קלויים. רוטב: דבש-חרדל",42,
סלט,סלט פטה ,/branding/Brooklyn Bake Shop_Label-1.jpg,"חסה, עגבניה, גזר, סלק, חמוציות, קורטונים, גבינת פטה. רוטב אלף האיים",42,
סלט,סלט בולגרי כפרי,/product_images/PHOTO-2026-03-17-14-50-25_6.jpg,"חסה, מלפפון, פלפל, בצל סגול, זיתים, חציל מטוגן, בצל מטוגן קריספי, גבינה בולגרית. רוטב שום",42,
סלט,סלט ברוקלין,/product_images/PHOTO-2026-03-17-14-50-26_3.jpg,"חסה, עגבניה, מלפפון, גזר, תירס, חומוס, פטריות, גרעיני דלעת קלויים. רוטב אלף האיים",42,
סלט,סלט טונה וביצה משביע,/product_images/PHOTO-2026-03-17-14-50-26.jpg,"חסה, מלפפון, תירס, גזר, זיתים, טונה, ביצה , פטריות מטוגנות. רוטב פסטו",42,
שונות,בלינצ'ס גבינה,/product_images/PHOTO-2026-04-23-13-50-36_1.jpg,2 יחידות בלינצ׳ס חלביים במילוי שמנת וגבינה ,30,220
שתיה קרה,קפה קר,/branding/Brooklyn Bake Shop_Label-1.jpg,,22,
שתיה קרה,אייס קפה,/branding/Brooklyn Bake Shop_Label-1.jpg,,22,
שתיה קרה,שוקו,/branding/Brooklyn Bake Shop_Label-1.jpg,,20,
שתייה חמה,שוקו,/branding/Brooklyn Bake Shop_Label-1.jpg,,22,
שתייה חמה,קפה XL,/branding/Brooklyn Bake Shop_Label-1.jpg,הפוך,22,
בלנד,קפוצינו פקאן,/branding/Brooklyn Bake Shop_Label-1.jpg,בלנד על בסיס קפוצ׳ינו פקאן וריבת חלב,38,
בלנד,וניל עוגיות,/branding/Brooklyn Bake Shop_Label-1.jpg,בלנד על בסיס חלב עם עוגיות ושוקולד חלבי משובח,38,
בלנד,חלווה,/branding/Brooklyn Bake Shop_Label-1.jpg,בלנד על בסיס חלב עם חלווה וקרם שוקלוד,38,
שתייה קלה ,מים ,/branding/Brooklyn Bake Shop_Label-1.jpg,בקבוק פלסטיק,10,
